date,value_type,current_base,new_customers,upsell,downsell,churn,net_new_arr,ending_balance
2025-01-01,budget,180000000,3600000.0,240000.0,12000.0,1500000.0,2328000,182328000
2025-02-01,budget,182328000,3604507.2,240000.0,12000.0,780976.56,3051528,185379528
2025-03-01,budget,185379528,3608949.6000000006,240000.0,12000.0,781939.0800000001,3055008,188434536
2025-04-01,budget,188434536,3613320.0,240000.0,12000.0,782886.0,3058440,191492976
2025-05-01,budget,191492976,3617625.5999999996,240000.0,12000.0,783818.8799999999,3061812,194554776
2025-06-01,budget,194554776,3621866.4000000004,240000.0,12000.0,784737.72,3065124,197619912
2025-07-01,budget,197619912,3626056.8,240000.0,12000.0,846079.9199999999,3007980,200627892
2025-08-01,budget,200627892,3630182.4000000004,240000.0,12000.0,847042.56,3011136,203639028
2025-09-01,budget,203639028,3634250.3999999994,240000.0,12000.0,847991.76,3014256,206653284
2025-10-01,budget,206653284,3638260.8000000003,240000.0,12000.0,848927.52,3017328,209670624
