date,value_type,current_base,new_customers,churn,customer_value_delta
2025-02-01,budget,73.9779,-6.9276,1.5009,73.9770
2025-03-01,budget,72.8667,0.0011,-0.0002,72.8668
2025-04-01,budget,71.7884,0.0006,-0.0001,71.7907
2025-05-01,budget,70.7415,3.3762,-7.3151,70.7394
2025-06-01,budget,69.7247,-0.0010,0.0002,69.7261
2025-07-01,budget,68.7575,0.0010,-0.0002,68.7592
2025-08-01,budget,67.8167,0.0010,-0.0002,67.8164
2025-09-01,budget,66.9014,0.0007,-0.0001,66.9011
2025-10-01,budget,66.0104,-0.0003,8.3919,66.0120
2025-11-01,budget,65.1428,-0.0005,0.0001,65.1409
