period,date,gl_id,gl_account,value_type_id,type,amount
2501,2025-01-01,1000,revenue,1,actuals,13744177.3415289
2501,2025-01-01,1010,subscriptions,1,actuals,13743232.56
2501,2025-01-01,1020,services,1,actuals,450.6700686
2501,2025-01-01,1030,others,1,actuals,494.1114603
2501,2025-01-01,2000,cogs,1,actuals,584703.4046311
2501,2025-01-01,2010,payment_fees,1,actuals,584235.6095
2501,2025-01-01,2020,other_costs,1,actuals,467.7951311
2501,2025-01-01,4000,commercial_costs,1,actuals,222009.25255700003
2501,2025-01-01,4010,sales,1,actuals,117749.77646000001
2501,2025-01-01,4011,sales_staff,1,actuals,107188.0408
2501,2025-01-01,4012,sales_non_staff,1,actuals,10561.73566
2501,2025-01-01,4020,marketing,1,actuals,87772.44138999999
2501,2025-01-01,4021,marketing_staff,1,actuals,74276.68022
2501,2025-01-01,4022,marketing_non_staff,1,actuals,13495.76117
2501,2025-01-01,4030,csm,1,actuals,16487.034707
2501,2025-01-01,4031,csm_staff,1,actuals,9167.033961
2501,2025-01-01,4032,csm_non_staff,1,actuals,7320.000746
2501,2025-01-01,6000,fixed_costs,1,actuals,309326.78823299997
2501,2025-01-01,6010,development,1,actuals,189058.89289
2501,2025-01-01,6011,development_staff,1,actuals,169459.4165
2501,2025-01-01,6012,development_non_staff,1,actuals,19599.47639
2501,2025-01-01,6020,product,1,actuals,36837.511986
2501,2025-01-01,6021,product_staff,1,actuals,33468.65924
2501,2025-01-01,6022,product_non_staff,1,actuals,3368.852746
2501,2025-01-01,6030,talent,1,actuals,4435.853028
2501,2025-01-01,6031,talent_staff,1,actuals,4435.853028
2501,2025-01-01,6032,talent_non_staff,1,actuals,0.0
2501,2025-01-01,6040,general_and_admin,1,actuals,70732.0996
2501,2025-01-01,6041,general_and_admin_staff,1,actuals,58929.54262
2501,2025-01-01,6042,general_and_admin_non_staff,1,actuals,11802.55698
2501,2025-01-01,6050,data,1,actuals,8262.430729
2501,2025-01-01,6051,data_staff,1,actuals,8262.430729
2501,2025-01-01,6052,data_non_staff,1,actuals,0.0
2502,2025-02-01,1000,revenue,1,actuals,14272444.8268792
2502,2025-02-01,1010,subscriptions,1,actuals,14271457.69
2502,2025-02-01,1020,services,1,actuals,470.8796077
2502,2025-02-01,1030,others,1,actuals,516.2572715
2502,2025-02-01,2000,cogs,1,actuals,602578.0682774
2502,2025-02-01,2010,payment_fees,1,actuals,602047.662
2502,2025-02-01,2020,other_costs,1,actuals,530.4062774
2502,2025-02-01,4000,commercial_costs,1,actuals,220532.946558
2502,2025-02-01,4010,sales,1,actuals,117761.32493
2502,2025-02-01,4011,sales_staff,1,actuals,106537.895
2502,2025-02-01,4012,sales_non_staff,1,actuals,11223.42993
2502,2025-02-01,4020,marketing,1,actuals,87014.16824999999
2502,2025-02-01,4021,marketing_staff,1,actuals,75207.8648
2502,2025-02-01,4022,marketing_non_staff,1,actuals,11806.30345
2502,2025-02-01,4030,csm,1,actuals,15757.453377999998
2502,2025-02-01,4031,csm_staff,1,actuals,8599.960705
2502,2025-02-01,4032,csm_non_staff,1,actuals,7157.492673
2502,2025-02-01,6000,fixed_costs,1,actuals,305090.61131500005
2502,2025-02-01,6010,development,1,actuals,187040.15557
